,t,q,w,dw,u,I
0,42559109,0.00000,0,0,0,-0.00010
0,42568105,0.00000,0.00000,0,0,0.00000
0,42577105,0.00000,0.00000,0.00000,0,-0.00030
0,42586105,0.00000,0.00000,0.00000,0,-0.00010
0,42595105,0.00000,0.00000,0.00000,1,-0.00030
0,42604105,0.00000,0.00000,0.00000,1,-0.00130
0,42613109,0.00000,0.00000,0.00000,2,0.00060
0,42622109,0.00000,0.00000,0.00000,3,0.00060
0,42631109,0.00000,0.00000,0.00000,5,0.00060
0,42640109,0.00000,0.00000,0.00000,6,0.00120
0,42649109,0.00000,0.00000,0.00000,7,0.00250
0,42658109,0.00000,0.00000,0.00000,9,0.00240
0,42667109,0.00000,0.00000,0.00000,11,0.00360
0,42676109,0.00000,0.00000,0.00000,12,0.00550
0,42685105,0.00000,0.00000,0.00000,14,0.00860
0,42694105,0.00000,0.00000,0.00000,16,0.00960
0,42703105,0.00000,0.00000,0.00000,19,0.01290
0,42712105,0.00000,0.00000,0.00000,21,0.01640
0,42721105,0.00000,0.00000,0.00000,23,0.02150
0,42730105,0.00000,0.00000,0.00000,26,0.02650
0,42739105,0.00000,0.00000,0.00000,28,0.03140
0,42748105,0.00532,0.59162,65.73551,31,0.03760
0,42757105,0.01065,0.59162,0.00000,33,0.04240
0,42766105,0.01065,0.00000,-65.72821,36,0.04850
0,42775105,0.01597,0.59162,65.73551,39,0.05810
0,42784105,0.02662,1.18337,65.75744,42,0.06760
0,42793105,0.03727,1.18324,-0.01461,44,0.06580
0,42802105,0.05325,1.77486,65.73549,47,0.07660
0,42811105,0.06922,1.77486,0.00000,50,0.08680
0,42820109,0.09584,2.95744,131.36885,53,0.08990
0,42830105,0.11714,2.13026,-82.73502,56,0.09460
0,42840105,0.14909,3.19475,106.44901,59,0.10580
0,42850105,0.18636,3.72720,53.24557,62,0.11930
0,42859105,0.22363,4.14134,46.01503,65,0.12200
0,42868105,0.26090,4.14134,-0.00016,68,0.13270
0,42877109,0.30883,5.32340,131.31079,70,0.12950
0,42887105,0.35675,4.79308,-53.04253,73,0.12770
0,42897105,0.41532,5.85703,106.39563,76,0.14140
0,42907105,0.47389,5.85704,0.00057,78,0.14180
0,42916105,0.53246,6.50781,72.30844,81,0.15300
0,42925105,0.59103,6.50781,0.00000,83,0.14450
0,42934105,0.65492,7.09944,65.73582,85,0.16170
0,42943109,0.72414,7.68764,65.32643,87,0.15770
0,42952109,0.79336,7.69106,0.38036,89,0.15470
0,42961109,0.86258,7.69105,-0.00074,90,0.16200
0,42970109,0.93713,8.28267,65.73582,92,0.16110
0,42979109,1.01699,8.87428,65.73444,93,0.16160
0,42988109,1.09686,8.87430,0.00138,95,0.16550
0,42997109,1.18206,9.46592,65.73592,96,0.16140
0,43006109,1.26725,9.46592,0.00000,97,0.17130
0,43015109,1.35244,9.46906,0.34927,98,0.17090
0,43024105,1.44828,10.64915,131.12100,98,0.16400
0,43034109,1.54945,10.11670,-53.24554,99,0.17950
0,43044109,1.65594,10.64915,53.24488,99,0.15970
0,43054109,1.76243,10.64917,0.00238,99,0.15950
0,43063105,1.86360,11.24076,65.73243,99,0.17070
0,43073105,1.97542,11.18162,-5.91440,99,0.16790
0,43083105,2.09256,11.71405,53.24364,99,0.17270
0,43092105,2.19905,11.83240,13.14926,98,0.14720
0,43101105,2.30554,11.83240,0.00000,98,0.15100
0,43110109,2.41203,11.82977,-0.29208,97,0.15790
0,43120109,2.53450,12.24654,41.67700,96,0.16040
0,43130110,2.65696,12.24651,-0.00238,95,0.13360
0,43140109,2.77943,12.24531,-0.12006,93,0.12410
0,43150109,2.90722,12.78025,53.49933,92,0.11730
0,43160109,3.03501,12.77897,-0.12789,90,0.13300
0,43170109,3.16280,12.77772,-0.12540,88,0.12780
0,43180109,3.29059,12.77895,0.12302,86,0.09800
0,43189105,3.40240,12.42957,-38.83721,84,0.08750
0,43199109,3.53552,13.30875,87.90022,81,0.08330
0,43209105,3.65798,12.24899,-105.99730,79,0.09990
0,43219105,3.78577,12.77902,53.00341,76,0.09540
0,43228105,3.90291,13.01414,26.12163,74,0.07950
0,43237105,4.01473,12.42540,-65.42318,71,0.07720
0,43247105,4.14252,12.77900,35.35986,68,0.06530
0,43257105,4.26499,12.24651,-53.24841,66,0.04190
0,43267105,4.38745,12.24651,0.00000,63,0.03280
0,43276105,4.49394,11.83240,-46.01299,60,0.03950
0,43286105,4.61108,11.71408,-11.83195,57,0.02720
0,43296105,4.72822,11.71408,0.00000,54,0.03060
0,43305105,4.82939,11.23955,-52.71919,51,0.02350
0,43315105,4.94121,11.18271,-5.68456,48,0.01560
0,43325105,5.04770,10.64916,-53.35550,44,0.00680
0,43335109,5.14887,10.11667,-53.24841,41,0.01300
0,43345105,5.25003,10.11571,-0.09641,38,0.00920
0,43355105,5.34587,9.58424,-53.14722,35,0.00640
0,43364105,5.43107,9.46690,-13.03828,33,-0.00360
0,43374105,5.52159,9.05180,-41.51049,30,-0.00630
0,43384105,5.60145,7.98688,-106.49204,27,-0.00270
0,43394105,5.68665,8.51846,53.15316,24,-0.00130
0,43404105,5.76119,7.45514,-106.34294,21,-0.00650
0,43414105,5.83041,6.92196,-53.31821,19,-0.00660
0,43424105,5.89963,6.92127,-0.06923,16,-0.00600
0,43434105,5.95820,5.85704,-106.42281,14,-0.00200
0,43444109,6.01677,5.85528,-0.17557,12,-0.00580
0,43454109,6.07002,5.32455,-53.07279,10,-0.00860
0,43464109,6.11794,4.79164,-53.28623,8,-0.00250
0,43474109,6.16053,4.26006,-53.16317,6,-0.00140
0,43484109,6.19781,3.72725,-53.28150,5,-0.00160
0,43494109,6.22975,3.19471,-53.25317,4,-0.00420
0,43504109,6.26170,3.19476,0.00477,2,-0.00180
0,43513109,6.28300,2.36702,-91.99216,2,-0.00100
0,43523109,6.30430,2.13005,-23.69855,1,-0.00020
0,43533109,6.32560,2.12984,-0.02131,0,-0.00010
0,43542109,6.33625,1.18311,-105.18024,0,0.00010
0,43552109,6.34690,1.06492,-11.81930,0,-0.00030
0,43562109,6.35222,0.53249,-53.24841,0,-0.00020
0,43572109,6.35754,0.53244,-0.00533,0,-0.00070
0,43581109,6.36287,0.59165,6.57918,0,-0.00030
0,43590109,6.36287,0.00000,-65.73878,0,-0.00030
0,43599109,6.36287,0.00000,0.00000,1,0.00290
0,43608109,6.36287,0.00000,0.00000,2,0.00030
0,43617109,6.36287,0.00000,0.00000,3,0.00010
0,43626109,6.36287,0.00000,0.00000,4,0.00070
0,43635109,6.36287,0.00000,0.00000,5,0.00130
0,43644109,6.36287,0.00000,0.00000,6,0.00210
0,43653109,6.36287,0.00000,0.00000,8,0.00270
0,43662109,6.36287,0.00000,0.00000,10,0.00430
0,43671109,6.36287,0.00000,0.00000,11,0.00590
0,43680109,6.36287,0.00000,0.00000,13,0.01180
0,43689109,6.36819,0.59179,65.77673,15,0.01040
0,43698105,6.36819,0.00000,-65.76211,17,0.01360
0,43707105,6.36819,0.00000,0.00000,20,0.01650
0,43716105,6.37884,1.18311,131.44244,22,0.02000
0,43726105,6.37884,0.00000,-118.31135,25,0.02450
0,43736105,6.38949,1.06503,106.51336,27,0.03130
0,43746105,6.40014,1.06481,-0.02130,30,0.03250
0,43755105,6.41611,1.77509,78.92844,33,0.04090
0,43764105,6.42676,1.18319,-65.76656,36,0.04790
0,43774105,6.44274,1.59740,41.42125,39,0.05240
0,43783105,6.46404,2.36649,85.45394,41,0.05940
0,43792105,6.48533,2.36649,0.00000,44,0.06080
0,43801105,6.50663,2.36644,-0.00588,47,0.07490
0,43810105,6.53326,2.95781,65.70084,50,0.07770
0,43819105,6.55988,2.95798,0.01886,53,0.07810
0,43828105,6.59183,3.54973,65.75055,55,0.08770
0,43837105,6.62910,4.14179,65.79131,58,0.10480
0,43846105,6.66637,4.14092,-0.09636,61,0.10630
0,43855105,6.70897,4.73345,65.84385,64,0.11210
0,43864105,6.75156,4.73298,-0.05251,66,0.11730
0,43873105,6.79948,5.32458,65.73290,69,0.11710
0,43882105,6.84740,5.32458,0.00000,72,0.12750
0,43891105,6.90065,5.91622,65.73878,74,0.13950
0,43900105,6.95922,6.50782,65.73285,77,0.13350
0,43909105,7.01779,6.50710,-0.08031,79,0.14820
0,43918105,7.08169,7.10015,65.90224,81,0.14480
0,43927105,7.14558,7.09947,-0.07582,83,0.14910
0,43936113,7.21480,7.68680,65.22216,85,0.17290
0,43945109,7.28402,7.69192,0.56946,87,0.15890
0,43954109,7.35856,8.28358,65.74752,89,0.16060
0,43963109,7.43843,8.87234,65.40286,91,0.16750
0,43972109,7.51830,8.87530,0.32874,92,0.16330
0,43981109,7.59817,8.87420,-0.12133,94,0.17760
0,43990109,7.68336,9.46596,65.75055,95,0.18110
0,43999109,7.76856,9.46591,-0.00583,96,0.17120
0,44008109,7.85907,10.05867,65.87019,97,0.16180
0,44018105,7.96557,10.65129,59.27317,98,0.18350
0,44028109,8.07206,10.64809,-0.31945,99,0.17640
0,44038105,8.17855,10.65017,0.20830,99,0.16610
0,44047105,8.27439,10.64915,-0.11359,99,0.18410
0,44057105,8.39153,11.71408,106.49252,99,0.18410
0,44067105,8.50867,11.71408,0.00000,99,0.16960
0,44076109,8.61516,11.82982,12.85755,99,0.15660
0,44086105,8.73230,11.71632,-11.35185,99,0.16540
0,44096105,8.84945,11.71525,-0.10759,98,0.15680
0,44106105,8.97724,12.77777,106.24119,97,0.16750
0,44116109,9.09970,12.24406,-53.35961,96,0.13720
0,44126109,9.22749,12.77895,53.48854,95,0.13170
0,44136109,9.35528,12.77905,0.00954,94,0.13800
0,44145109,9.46710,12.42394,-39.45616,92,0.14470
0,44155109,9.60021,13.31148,88.75418,91,0.13960
0,44165109,9.72800,12.77895,-53.25317,89,0.10300
0,44175109,9.86112,13.31148,53.25317,87,0.10230
0,44185109,9.99423,13.31272,0.12370,85,0.11400
0,44194105,10.11137,13.01864,-32.68269,83,0.09410
0,44204105,10.24448,13.31129,29.26512,80,0.07970
0,44214105,10.37227,12.77905,-53.22456,78,0.09260
0,44224105,10.50539,13.31148,53.24364,75,0.09120
0,44234105,10.63850,13.31148,0.00000,72,0.05460
0,44243105,10.75032,12.42394,-98.61575,70,0.04990
0,44253105,10.87811,12.77895,35.50100,67,0.04500
0,44263105,11.00590,12.77905,0.00954,64,0.06050
0,44272105,11.11772,12.42405,-39.44440,61,0.05040
0,44282105,11.24018,12.24651,-17.75322,58,0.04660
0,44292105,11.36265,12.24642,-0.00954,55,0.02920
0,44302109,11.47979,11.71173,-53.45763,52,0.03370
0,44312105,11.59160,11.18276,-52.90284,49,0.02550
0,44322105,11.70342,11.18276,0.00000,45,0.02080
0,44331105,11.79926,10.64915,-59.28972,43,0.00420
0,44341105,11.90575,10.64911,-0.00429,40,0.01270
0,44351105,12.00159,9.58424,-106.48727,36,0.00050
0,44361105,12.10276,10.11677,53.25317,33,0.00460
0,44371105,12.19328,9.05180,-106.49681,31,-0.00810
0,44381105,12.27847,8.51927,-53.25317,28,-0.00790
0,44391105,12.36367,8.51927,0.00000,25,-0.00350
0,44400105,12.43289,7.69021,-92.10719,22,-0.00790
0,44410105,12.50743,7.45514,-23.50937,20,-0.00930
0,44420105,12.57665,6.92196,-53.31821,17,-0.00830
0,44430105,12.64054,6.38888,-53.30220,15,-0.00260
0,44440109,12.69911,5.85523,-53.34890,13,-0.00760
0,44450109,12.75236,5.32455,-53.06802,11,-0.00170
0,44460109,12.80028,4.79221,-53.23410,9,-0.00360
0,44470109,12.84288,4.25968,-53.25317,7,-0.00390
0,44480109,12.88548,4.25968,0.00000,6,-0.00330
0,44489109,12.91742,3.54968,-78.88887,4,-0.00150
0,44499109,12.94937,3.19481,-35.48729,3,-0.00150
0,44509109,12.97599,2.66218,-53.26271,2,-0.00140
0,44519109,12.99729,2.13027,-53.20213,1,-0.00060
0,44529109,13.01326,1.59740,-53.28624,0,0.00000
0,44538109,13.02391,1.18343,-46.00235,0,0.00030
0,44548109,13.03989,1.59715,41.36786,0,-0.00010
0,44558109,13.05054,1.06498,-53.22233,0,-0.00010
0,44568105,13.05586,0.53253,-53.24476,0,0.00040
0,44577109,13.05586,0.00000,-59.17020,0,-0.00050
0,44587109,13.05586,0.00000,0.00000,0,-0.00030
0,44596109,13.05586,0.00000,0.00000,1,0.00110
0,44605105,13.05586,0.00000,0.00000,2,0.00040
0,44614109,13.05586,0.00000,0.00000,2,0.00050
0,44623109,13.05586,0.00000,0.00000,3,0.00070
0,44632109,13.05586,0.00000,0.00000,5,0.00110
0,44641109,13.05586,0.00000,0.00000,6,0.00200
0,44650109,13.05586,0.00000,0.00000,7,0.00250
0,44659109,13.05586,0.00000,0.00000,9,0.00400
0,44668109,13.05586,0.00000,0.00000,11,0.00590
